,text,votes
58,Ce vieux blue screen Windows XP à la fin 😂,0
59,Lol 8:18 covid19,2
60,2:52 maintenant il est les deux,0
61,Either,0
62,je vous propose either,0
63,Riche ou célèbre squeezie à déjà les 2,0
64,"3:39 << l'histoire c'est trop important>>





ils sont tous mort à quoi ça sert?",0
65,"05:26 ""tu préfère vivre isolé ou-""
Je vient du turfu squeezie, tu va vivre isolé pendant 2mois bonne chance ÚnÙ",0
66,Œuf 🥚,1
67,Franchement je préférais vivre dans « Aktion Park » 😂😂,2
68,4:19 bah ducoup ce n est pas un nain.,0
69,Time 2020 vous êtes là??,0
70,"Ci je suis comme toi quant je mange je grossis pas , tes vidéo sons trop trop trop trop légender incroyables génial",1
71,Moi je n aurais pas mi sa,0
72,Dans le futur tu resteras confiné,0
73,"Team chien vous etes la ?!




Team chat aller mourire a cause du covid 19 XD non je rigole chacun c'est gout",1
74,"Jeu:Histoire ou Math? 
Moi:RIEN DES DEUX!!!!",2
75,Croit moi au état unis les toilettes des Walmart sont super propre,0
76,"2:57
Le future 🤒",0
77,Si moi je suis comme toi je mange du gras des bonbon et je grossi pas U-U (jaime mon corp),0
78,Mmmm des glaces 🍦 sinon je t'adore et t glaces,1
79,Tu peut laver la toilet avant de la lécher,0
80,"Ben voyons, en septembre 2020 tu vas sortir un album😐🤨",1
81,3:57 comme par hasard je suis entrain de l'écouter 🤣🖤🤘🦇 ⚡,0
82,Le truc avk les pepites et vert avk la creme c un gland,0
83,Pain au chocolat vs chocolatine,0
84,4:51 il dit qu’il chante mal alors qu’il s’apprête à sortir un album😂,0
85,Moai,0
86,Team 2020,0
87,Team 1990,0
88,Et pourtant j'ai pas mangé de dragibus 😒,0
89,"8:15 ou 
AAAAAAAAAACTIOOOON PAAAAAARK",6
90,Sale daltonien,0
91,T'ai toi !,0
92,La j'ai mangé des drajibuse,1
93,T short j’ai vue,1
94,Y’a pas que les gâteau qui s’appelle des gland hum j’ai rien dit,0
95,"2:06 ""oh les gars arrêtés on pense tous pareils"" sa ma tuer 😂😂🤣🤣🤣",48
96,3:00 tu l’as regretter je pense,8
97,4:48 et dire qu'après il pensait pas de faire une chanson qui à été presque disque d'or.,22
98,Elena fan mika c’est pas plutôt 4:48,2
99,@lukas kas ouais c vrai pardon.,2
100,"2020 QUELQU’UN  ?? 
Mdr la nostalgie",1
101,Non je suis en 2018,1
102,Un chat car à la question que ça concerne j'étais un chat quand j'étais petit,1
103,j ADORE TON CHANDAIL!!!!!!!!😍😍😍😍😍😍😍😍😘,0
104,À 8 minutes 15 tu es au courant que les animaux peuvent te manger n'importe quand,1
105,T'inquiète pas moi aussi squeezie j'aurais voulu vivre dans un zoo,1
106,Je viens d’avoir une pub de préservatifs 0_0,1
107,Nous les joueur ps4 on aurais choisi de perdre l index car sans pouce tu peut pu tourner,0
108,Sympa les recommandation..,1
109,le gland de quoi ? de la bite,0
110,j'ai entendu cours virtuelle?,1
111,Je viens du futur il y a le corona 🦠 bon futur à vous,0
112,8:17 ou action Park,28
113,"Ta dead ca 😂, va voir ce qu’il y a d’ecrit sur l’ecran bleu 😂😂",1
114,Ah bah Nan Ducoup,0
115,lol,0
116,ACTION PAAAARRRRRRRRKKKKKKKKKK,3
117,ACTION PARRRRRRK LE MEILLEUR ENDROIT,1
118,"squeez ,tu peux expliquer le bug de l'écran bleu ?",0
119,Ta tête sur la miniature est flippante,1
120,3:02 Si tu savais ptn...,1
121,Haha🤣🤣☀️☀️,0
122,Oufff,0
123,8:24 mettai sur pose😂😂😂😂,6
124,Le créateur de se truc = le... PEDOBEAR,1
125,2:10 le rire d’ado 😂😂😂 j’adore,1
126,😂 Non moi je suis comme toi je veut grossir je fait que 75 KG😭😭😭,0
127,4:44 si tu pouvais voir dans le futur...,5
128,4:02 moi : pense à undyneeeeeeeeee,1
129,moi je choisis tuer le kraken pas parce que je sauve la ville mais parce que je sauve godzilla,1
130,"3:02 « franchement aller vivre dans le futur c’est mieux »
Coronavirus: ARE YOU SURE ABOUT THAT",242
131,Moi le passer pour le truc des math😂😂😂😂,6
132,Sa fait 4ans que le vidéo qui est sorti et je la regarde encore,5
133,Il a meme vivre isolee ou afrontee ca plus grande peur 🤣🤣,2
134,😂😂😂😂,1
135,Bon ben je me sens ultra visé,1
136,A oui oui,1
137,Coronavirus de Merde 🤬🤬🤬😡😡😡😡🥺,2
138,@sans Et papyrus je suis grave d'accord avec toi,1
139,@sans Et papyrus Ah tu connais undertalr,0
140,Undertale,0
141,Oui et j’aime trop,0
142,@sans Et papyrus Moi aussi,1
143,Cool chuis pas l’seul😃😃,0
144,Xavier Lacroix-Rivest grave,0
145,@YaKuZa TheKinG What quoi,0
146,Tellement,1
147,GRAVE,0
148,Mec on est en 2020 regardez les gens il met tout le tant les bras en quand il dit  yo tout le monde c'est Squeezie😂😂,0
149,Ben si tu pus le caca tu mes du déo,0
150,On se retape toute les video de squeezie en ce temps de coronavirus 😁😁😁,1
151,"préférerais tu être un chanteur excellent ou un superbe écrivain? 
Squeezie: Un superbe écrivain, je sais pas chanté. 
4 ans après il a fait pleins de chansons d'on un clip qui a fait le buzz ( ps: Bye Bye )",1
152,Team blague,0
153,6:21 c'est si frustrant d'être un génie et de voir des debiles à côté de toi,3
154,Tellleeemmmennt,0
155,si tu n'est pas capable de t'assoire nan tu va pas mourir de fatigue parce que on a pas dit être pas capable de t'allonger ! 😏,0
156,En 2020 le future c rester ché toi pendant une pendémie,0
157,"Bien dites donc, il a beaucoup changé Squeezie !",1
158,T'en ai sur squeezie tu veux venir en 2020 nan mais le Confinement tous ça 😅😭,0
159,Mec loup-garou c'est plus fort que Wolverine🐺🐺🐺,0
160,🐺🐺🐺🐺🐺🐺🐺🐺🐺🐺🐺🐺🐺🐺🐺🐺,0
161,Non,0
162,Oh que si sa morsure peux-tu Wolverine et sa force est de dépasse de loin celle de Wolverine,0
163,"@Pascal Deimerly Selon les version les loup garou on une force qui varie, mais Wolverine a deja combattu des wendigos, les griffes de Wolverine sont très résistante et coupante. Après je suis pas une très grande connaisseuse de Logan.",0
164,Un loup-garou c'est plus fort qu'un Wendigos et puis un loup-garou ça peut faire 3 m et sa force et elle qu'elle qui peut vaincre trois Wendigos,0
165,à 4:40 si tu mange ce que tu veux sans prendre de poids tu peux manger ta nourriture favorite pendant toute ta vie,2
166,J’aime bien ton t-shirt,125
167,C un pull,10
168,@•Les 3 bests • ok ok calme toi,4
169,C pour ça que lucas est mignon!😂,6
170,"@Rachel pk me demander de me calmer alors que g juste dis ""c un pull"" 😂",6
171,@•Les 3 bests • ouep tqt get énervée lol 😂,3
172,@Rachel Ah Okkkk,2
173,tu t’es mis à regarder ses anciennes vidéos toi aussi,3
174,Je le mignon avec ce pull,1
175,@HowBeOne Studio français,0
176,On dirait un pyjama,2
177,0...o  0..o,0
178,Vivre isolé...ça me rappelle quelque chose...,2
179,Sanji Officiel oui,0
180,ouai mai dans le future il y as le putin de Corona,0
181,4:10 wow calm toi 😂,2
182,Meilleur phrase de la video ‘’Je prefere manger des glands’’,0
183,oof,0
184,c'est absolument pas égoiste certains choix lucas !!,1
185,Qui préfère le squezzie d’aujourd’hui,1
186,Moi,1
187,Not me,0
188,Je suis totalement in love du pull de Squeezie 😍😍😍,73
189,Bah baise son pull alors... Lol.,3
190,CoasterManiac 2004   T grave deg 💩💩😂😂🤭,1
191,Bonjour les 2020 !,1
192,@CoasterManiac 2004 🤣🤣🤣,0
193,@CoasterManiac 2004 Toi meme va..!,0
194,En Love* c pas fr sinon.,0
195,@Rory Aj Love n'est pas français de base et in non plus,0
196,ZeldoX aller f t g kikou,1
197,Wesh les 2010,0
198,Dit squeezie si tu mange se que tu veux tu peux aussi manger ton plat favori donc c'est grave mieux perso,0
199,Mais comme à la question d'avant tu avais dit que tu préférerais avoir toujours froid tu aurais dû mettre le jeans.,1
200,Comment tu peut jouer par exemple à la play sans pouce ? On peut faire de choses 1vk un pouce,0
201,3:40 non c'est j'uste pour les jeux médiéval est pour ark comme sa tu peux te rassurer quand un dinosaure te bute tu pourra toujours te rassurer en pensant à la météorite,1
202,8:24 lisez bien 😂,1
203,On te banni de YouTube😠😠😠😤😤😤pour les choix que tu as fais,1
204,Alors ferme ta bouche,0
205,arrêté de de faire passer par un umien squeezie reptilien  👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹,0
206,Moi j’ai toujours chaud,1
207,Moi aussi j'ai un core delache,1
208,moi mon reve c davouare un cache oeil  et des oeil veron noir et rouje et daitre une demone et continue comme ca,1
209,"Pour la question d'etre riche ou célèbre  , je crois que squeezie est un petit peu des 2",0
210,"Petite anecdote : 
La première question est : Préfére tu avoir chaud ou avoir froid ?
Comme on peut le voir , le froid est dans le rouge et le chaud dans le bleu .
Il faut savoir qu'un soleil en fin de vie (donc moins chaud qu'au début de sa vie) est rouge , et une étoile en début de vie est donc bleu .
Chez les étoiles , les étoiles bleu sont plus chaude que les étoiles rouge ( d'où la disposition de la première question ) 

Voilà 😉",2
211,Ou ct juste random,1
212,@SANESS clairement,0
213,Je le savais déjà mais à mon avis c’était juste random son choix 🤷🏻‍♂️,0
214,"3:08 Comme DAVID GOODENOUGH!!!
""Bah, c’est pas si mal.""",5
215,wsh l'ecran bleu ta insulter ta race okalm lol,1
216,"4:44
Moi aussi :)))))))))))))))))))))
A 11 ans je pèse 29kg :///////////",2
217,A 8 min 26,0
218,"Il y a écrit ""have a sexy Time with you mom""again dans l'écran bleu",1
219,Vivre dans un zoo,0
220,Et les chat dorme 20 heure par jour,0
221,Vivre seule sur une île car je suis un siciale,0
222,Le chorte ses mieux mes les fille son obliger de ce raser,0
223,Wesh les maths,0
224,Mais Lucas tu es le cadet de ta famille  😶,0
225,3:04 nice,1
226,5:38 😂,1
227,Si tes famous tu es aussi rich,0
228,3:42 je déteste l'histoire j'aurais mis les maths,2
229,Moi j'aime pas les maths et je préfère l'histoire,1
230,Lisez l’écran bleu 8:23 pourquoi y a écrit ça ???,0
231,Squeezie pas avec des dragibus,0
232,"Pk pas coréen?!
😭",0
233,"Les math sont mieux que l’histoire 
L’histoire c’est DE LA MERDE 
Je m’endors presque en cours sauf que je suis celle qui représente ma classe et mon prof vas me tuer",0
234,5 ans plus tard... un vrai plaisir,1
235,Désolé pour le commentaire d’avant c’est la faute du correcteur,0
236,Squeeziez je prend jamais de poids,0
237,Bienvenue dans le futur,1
238,Histoire c'est super inportant mon cul,0
239,6:39 mais il y a un endroit pour manger il sapelle pomme de pain,1
240,"Affronter sa pire peur une fois par mois ?
RIP les thanatophobes...",0
241,Le gland est une très bonne patisserie 😏,0
242,Squeezie 2020 il fait toutes ses vidéos en jeans...,0
243,Moi je suis girafe 🦒🦒🦒🦒🦒🦒🦒,0
244,Es tu en pyjama ?,1
245,Ta le diabète avec les ailes de poulet aussi,0
246,Ci tu est le dernier humain sur terre tu peut faire tout ce que tu veux,0
247,Jennifer Sausez Nnaaaaaannn Juuuurree. xD,0
248,"6:20 Moi j'ai choisi pareil que Squeezie, pourquoi ? Car les gens débile iront toujours te faire chier en te posant plein de questions TOUS LE TEMPS ! Toujours envie de faire partie de la majorité ?
Sinon comme la majorité des gens, moi je préfère mettre des jeans tout le temps, pourquoi, parce que c'est déjà le cas",1
249,Ouais mais l'accouchement c'est horrible et en plus je sais se que ça fait!,0
250,Cc,0
251,Je suis chinoise,0
252,"Dans cette vidéo, je me suis rendu compte de la bonté de Squeezie. Tu es un type bien, reste dans cette voie de la vertu et l'empathie.",1
253,Éspèce de ____________,0
254,Le pouce sert a jouer a la ds,0
255,J adore ton pull,0
256,Jaaj,1
257,déjà l’histoire sa sert a r ;-;,0
258,J'ai un cache yeux et on voit tous jour,1
259,Je suis revenue après avoir vu la vidéo de des cuts et des zoom,1
260,Qui regarde  cette  vidéo après  des cuts  et  des  zoums  😂🤣😅,4
261,Moi 😂 ça m'a intrigué !,1
262,Quel est cette  espèce  ?? 🤣😂😅,0
263,@Azékagé Je sais pas 😂,1
264,Le mec y mange des glas et y trouve sa bon c'est pas bien te manger des couil** squezzie,0
265,"Qui est là en 2020
 👇🏻",2
266,Moi,1
267,Tu me traite de grosse 💩😭😭😭😭😭😭😭😭,0
268,??,0
269,"4:43
Moi aussi",3
270,2020 mdr ?😂,0
271,"Lisez ce qui est écrit à 8:23 
(anglais)",10
272,XD,0
273,J’ai regardé cette vidéo à sa sortie et je n’avais jamais remarqué 😂😂😂,1
274,Vivre dans un zoo c'est bien: tu vois les animaux naître puis tu les vois mourir donc je préfère le park d'attraction,0
275,moi j aurait dit être dans un robo,0
276,Chuis la seul entrain de le regarder en 2020😂🥳,2
277,moi ausssi,0
278,Moi aussi on est là la team 2000,0
279,La même,0
280,Ceux qui te réponde jusqu'à que ce soit le 1er janvier 2021 regarde en 2020 :3,0
281,squeezie cest normal que tes dans les 9 pour  91 car si tu prend que tu prent pas de poid mais tu peut manger ce que tu veux,0
282,2:01 il ma tué,1
283,Enfaite sqeezie est plutôt pire chanteur du monde mais il est super beau,0
284,3:22 et si a l'école tu te fait harceler hein? Tu peut rien dire,9
285,Oui oui Squeezie est encore a l'école -_-,1
286,ce n'est que des années après que je remarque qu'il a dit nain de 10 mètres à 4:18 alors que c'est nain de dix pieds,0
287,Moi je regarde en 2019 et a 2:52 il y a un tu préfère être riche ou célèbre mais la il est les 2 mdr,124
288,Riche c mieux,5
289,Ça sert à quoi d’être célèbre à part que plus de monde te suucceessss,9
290,@Abdou C93 de ouf,1
291,Je préfère clairement être milliardaire méconnus que star pauvre.,3
292,général Alexander 👍🏾,1
293,Mais si t'est riche sa te confère automatiquement le statut de célébrité,0
294,@OVERLINE être riche ça te rend célèbre grâce à tes thunes et être célèbres ça te rend riche grâce à ton activité qui te rend célèbre,0
295,"@louis frette pas forcément, je viens de donner trois exemples",2
296,Et cool,0
297,Si tu es riche tu peux devenir connu plus facilement,2
298,@Spy Gaming tout dépend tes actions.,3
299,@Spy Gaming si t celebre t celebre plus facilement lol,0
300,c vrai et en 2020 aussi !,0
301,Moi quand j’ai jouer ca mettais:tu prefere squeezie ou cyprien,0
302,Qui a lu à 8:23 à propos des sites pornos,0
303,"2019




...",1
304,Ayfue oui,1
305,"C normal sur l’écran bleu il y avait marquer 
Sexy Time je crois",0
306,J'adore ton tee-shirt,1
307,Ces moi ou tes en pyjama,0
308,Si tu es plus capable de te lever ta juste à prendre une chaise roulante,0
309,"Pour teach math et teach history c enseigner la matière 


Voilà c ma vie",0
310,Pain au chocolat ou chocolatine ? 😂😂,1
311,je viens du futur... JE SUIS EN 2019 !!!!!!,0
312,Non,0
313,@evan vsh snif TwT,0
314,Je veu avoir un cache œil et devenir Kaneki !!!!,0
315,C’est moi ou ils sont évidents les choix...,0
316,En fait pocket-sized elephant et pocket-sized giraffe ça veut dire une giraffe et un éléphant tout petits mais bon...,0
317,"""Aller on va dire dans le futur, mais si j'arrive et je me rends..A 56% veulent aller dans le futur !"" 
ET LA SUITE DE LA PHRASE !! 😂",3
318,J'adore ton tee shirt,2
319,"1:49 Vous vous reconnaissez.





Je le sais",1
320,Qui aime toujours regarder cette vidéo ?,1
321,Moi aussi je prend pas de poids,0
322,🤔6:30 Un gland ? Ha oui ? 😁😋,0
323,"Je tien juste à dire que l'histoire ils sont




Tous morts donc c'est pas grave :D",1
324,j'ai un corp de lache qui r'envoie la graisse dans les bras,0
325,IL A TOUT RATE PAS BESOIN  D ALLER AU FBI,1
326,Trot beau son pull !!!!! Je veux le memme !!!!!,0
327,"Moi en classe j arrête pas de parler et ma prof faisait 
 que me gronder",0
328,qui regarde en 2019 ?,0
329,Pain au chocolat ou chocolatine B-),0
330,Ps:pain au chocolat,1
331,Tg,0
332,"Nan mais son niveau d'anglais genre le mec se dit ""teach history or teach maths"" il pense que ça veut dire apprendre",0
333,Et bien plus tard tu sera le créateur du livre tourne la page,0
334,Le futur fait peur,0
335,Ca fais bizarre de voir squeezie jeune 😂,0
336,Si il savait qu il prendrais un chien,1
337,Équipe éléphants manifestez vous ! 🐘,1
338,1: 52 mois je fais les deux quand je dors je parle à voix haute,0
339,1:52 plutôt,0
340,C'est quoi la musique svp 8min44,0
341,Est-ce que tu peur mourir,0
342,4:1 la différence,1
343,moi je déteste l' histoire,0
344,😂😂😂😂😂❤,2
345,squeesi réfléchi 2 seconde si tu per ton pouce tu pourra rien faire avec ta main,1
346,pour moi affronter ma plus grande peur une fois par mois c'est mourir une fois par mois,0
347,2:30 en 2019 son dressing est constitué que de Jeans mdr même pour la woof run il a pas fait d’effort 😭😂,12
348,Qui regarde sa en 2019,0
349,Moi,0
350,Moi j'aime pas,0
351,L'histoire,0
352,8:23 att... le buildscript de ton ordi est basé sur un........ logiciel pr0no ?,7
353,"JE VEUX PAS ÉCOUTER LES MUSIQUES DE 1946 JAMAIS!!!! OU ENCORE PIRE!  LE MOYEN ÂGE, VIVE LA TECHNOLOGIE!!!! XD",2
354,"Mettez en 0,5",0
355,Qui a pris le temps de regarder l'écran bleu après la dernière question ?,1
356,Un nain de 10 mètre c'est un fucking titan,0
357,2058?????,1
358,Moi je serai japonais au lieu de chinois la Chine c'est beau mais il y a Dragon Ball et Pokémon au Japon,0
359,"4:34 bah si on peut manger tout ce qu'on veut sans prendre de poids, pourquoi on mangerai pas notre plat préféré mais au moins sans prendre un gramme  ;)",8
360,Hey être un génie avec des gens pas intelligent sa peux être Nice vue que tu peux les aider!,0
361,2019 ?,1
362,"Mais un nain de 10 mètre c pu un nain 
Sinon continue comme je t’adore",0
363,"Éh!! Lucas!!!

Je suis en 2019 et j'adore ton t-shirt😉",3
364,ou 17 sur 12,0
365,45 sur 100,0
366,54 sur 12,0
367,Wtf squeezie,1
368,Chaton,0
369,"Ok , je viens d'apprendre que j'ai un corps de lâche ^^ Merci Squeezie .",1
370,Je pense que les gens prennent l'histoire car casi personne n'aime les maths...,2
371,Vive les math vive les math vive les math,0
372,Avec le cache œil je serai le nick furry blanc,1
373,Squeezie  je  te hais put1  les chats font mêmes pas l'équivalent des bruits des chiens,0
374,Quel est ce pull ??????,0
375,Je préfère les mats,0
376,qui regarde en 2019,1
377,"6:23 en gros,vu le qi de certaines personnes dans.. ce monde: c'est un peu ce que je suis",2
378,Qui connaît pas Walmart!??,2
379,Tu n’es pas unique on a des resemblances,1
380,La seule ressemblance est qu'on est humain :/,0
381,moi je  préfère le cache-oeil pour ressembler a ken kaneki♥️♥️♥️♥️♥️,1
382,2019 hehe,1
383,2020 hehehe,0
384,"L'histoire ça sert à rien, qu'est ce que j'en ai à foutre de se qui s'est passé avant la naissance ? Au pire si je veux savoir un truc c'est pour ça que wikipédia existe ! 
Et puis les maths c'est tellement chient ! Ça va je sais calculer 1+1 donc foutez moi la paix !",0
385,Histoire sa sert à rien vive les math,0
386,Moi j'ai déjà un cache-oeil,0
387,Je préfère les mats que l’histoire moi,0
388,La tête de psycho sur la miniature 😂😂,0
389,Les mathématique c la vie 😂🤞💗,1
390,Je suis un pro des math alors que je peux faire l'histoire,4
391,Je suis un pro alors je peux faire l'histoire,0
392,Je sui comme toi,0
393,"Dans la question : tu préfères être riche ou célèbre, normalement si tu est célèbre t est forcément riche donc, célèbre",0
394,J'affronte déjà ma plus grande peur une fois par mois:les règles😐🔴,0
395,Franchement moi les maths tout de suite,0
396,Team elephant 🐘 >:(,1
397,3:04 TR3YWAY,2
398,"C'est vieux !
lol",3
399,Team 2019 vous êtes la,3
400,C'EST NUL L'HISTOIRE 😡😡😡,0
401,je haie l'histoire,0
402,J’adore ton pull-over,1
403,Japonais c mille foi mieu,2
404,J'ai beau manger 🍴je ferais toujours le même poids,0
405,Mais t'es beau pourquoi tu te plain sois fière de toi respecte toi putain  tu dis toujours que t'es pas beau,0
406,Jaime trop ton pull,0
407,Alors squeezie préfères tu être riche ou célèbre ? (Tu n’as pas montrer ta réponse) 🤔🤫😏,0
408,J'adore ton pull glace !!,2
409,tu ragarde vraiment cette video e 2019 espece de loosers,0
410,c'est la liberté (la suite),0
411,Godzilla est le meilleur,1
412,"Damn you are normal
Just jocking
I love your videos you re so cool",3
413,Dilleme: Tu préfères mourir dans d'atroces souffrances ou voir mourir tous tes proches ? Moi j'préfère mourir,0
414,Mon frère est diabétique donc pour cette blague je tant merde .,0
415,Squeezie tu chante bien pour moi😁😁😁,0
416,Wow il avait 19 ans à l'époque... !,1
417,2019 qui est la,24
418,Moi,2
419,Tg,2
420,Moi ''mais tg'',1
421,tg,2
422,C'est quoi ce tee-shirt,1
423,Qui est la en 2019?🤚,1
424,Tégé,1
425,En 2015 SQUEEZIE dit : Je chante mal alors qu'en 2019 il chante trop bien 😍,20
426,j'avoue c clair,1
427,5:26 à sa clairement c la définition parfaite des règles 😂,323
428,Bab Oune c vrai,5
429,Bab Oune non arrete de te plaindre c'est rien,0
430,@Effgs officiel t'es une fille ou un gars,8
431,Hindouche d'Msp un garçon,0
432,Bah tu peux pas savoir si cest rien alors,9
433,Hindouche d'Msp si je suis sur c'est pas grand chose,1
434,@Effgs officiel bah nn une fille 😢😂,0
435,"@Effgs officiel tu dis ça parce que tu les a pas. 
C est comme ci, on te mettait un coup de pied  dans les coui***.
Voilà la Def des règles pour les définir au mec",12
436,@Effgs officiel Heu...,3
437,@Étøile du Phøenix ça dépend de ce que tu veux dire par grand coup dans les couilles parce que moi quand j en est un je tombe instantanément au sol donc je pense fort que c est coup a tiers fort. voici voila,0
438,@Effgs officiel Pas d’utérus pas d'avis !,5
439,Effgs officiel alors toi t’es un guignol,0
440,Ça va arrêtez de le clasher . Vous avez vos règles ou quoi ? 🤓,0
441,Effgs officiel mais tais toi toi,0
442,"@SPACE TEAM pas forcément, je connais plein de mec qui ont reçu un coup de pied dans le sexe et qui vont très bien aujourd'hui mdrr",0
443,"Effgs officiel alors j’ai plusieurs années de retard, mais tait toi stp :)",2
444,J'pensais pas qu'un commentaire pouvais déclencher un débat comme ça 😂... Mais si t un gars on te demande pas ton avis et si t une fille qui n'a aucune douleurs eh bah ta pas d'avis a donné non plus... 😂,3
445,@Effgs officiel des femmes chaque mois vomissent du sang s'évanouissent de doleurs cris de douleurs certaine femme on comme l'impression qu'on leur donne des coups de couteau dans leus sex ettttt plein d'autres choses mais effectivement c'est rien,2
446,@MYTHON  la vrai définition c'est comme si on se prenait pour certaine pas toute des coups de couteau dans le sexe in vomit du sang parfois on s'évanouit de douleurs on arrive plus a marcer mais pour certaine sa leurs fait pas trop mal,1
447,@Effgs officiel  c pas rien,0
448,Mdrrr trop,0
449,Mais graaaave ! 😂,2
450,@Effgs officiel bah t un mec enft donc c'est comme si on te coller un coup dans les couilles 5fois par moi ! Alors tg,0
451,moi et toi on na l est meme goue,0
452,Ouai mais tu comprend rien en arménien toi moi je comprend car je suis arménienne et full house c ma série fav ça Porte un titre anglais mais c armenien😘😘continue,0
453,Moi aussi j'ais un corq de lache ! xD,2
454,Si on mange que des bonbons on aura peut-être le diabète mais si on mange que des ailes de poulet pimenté on aura les hémorroïdes🤣🤣,0
455,Ta coupe on dirais un 💩,0
456,G fais me goudrix et g que 12 ans g adorée,0
457,Tu as gardé ton pyjama ?,0
458,Et ils sont moins pauvres au Japon,0
459,la dernière question moi je préfère être japonais car la nourriture est meilleur au Japon qu'en Chine,0
460,"Y a un restaurant qui s'appele ""Pomme de pain"" dans le centre commercial les sentiers de Claye-Souilly près du flunch ou  je mange d'habitude.",0
461,Oui mais si tu fais 10 mètres tu peux plus être considéré comme un nain,1
